Task,Deadline,Status,Days_Left
Login Module,2026-03-01,On Track,28
Payment System,2026-03-01,On Track,56
Database Design,2026-03-01,On Track,34
Testing,2026-03-01,On Track,48
Testing,2026-03-01,On Track,34
Payment System,2026-03-01,On Track,32
Payment System,2026-03-01,On Track,28
Deployment,2026-03-01,On Track,44
Deployment,2026-03-01,On Track,32
Login Module,2026-03-01,Delayed,-3
API Development,2026-03-01,On Track,54
UI Development,2026-03-01,At Risk,9
API Development,2026-03-01,On Track,29
Payment System,2026-03-01,Delayed,-3
Payment System,2026-03-01,On Track,52
API Development,2026-03-01,On Track,46
Payment System,2026-03-01,On Track,11
Payment System,2026-03-01,On Track,47
Testing,2026-03-01,On Track,38
API Development,2026-03-01,Delayed,-10
Login Module,2026-03-01,On Track,21
API Development,2026-03-01,Delayed,-7
Database Design,2026-03-01,On Track,11
Deployment,2026-03-01,On Track,21
Testing,2026-03-01,At Risk,1
UI Development,2026-03-01,On Track,57
Login Module,2026-03-01,On Track,25
API Development,2026-03-01,On Track,15
Login Module,2026-03-01,Delayed,-5
UI Development,2026-03-01,On Track,34
UI Development,2026-03-01,On Track,32
Database Design,2026-03-01,On Track,23
Deployment,2026-03-01,On Track,25
Database Design,2026-03-01,On Track,37
Deployment,2026-03-01,At Risk,8
API Development,2026-03-01,On Track,52
Deployment,2026-03-01,On Track,38
Payment System,2026-03-01,At Risk,3
Testing,2026-03-01,On Track,56
Database Design,2026-03-01,Delayed,-6
UI Development,2026-03-01,On Track,34
Login Module,2026-03-01,On Track,39
Login Module,2026-03-01,Delayed,-3
Payment System,2026-03-01,On Track,13
Database Design,2026-03-01,On Track,10
Deployment,2026-03-01,On Track,57
Deployment,2026-03-01,Delayed,-9
UI Development,2026-03-01,Delayed,-10
UI Development,2026-03-01,At Risk,8
API Development,2026-03-01,On Track,57
Database Design,2026-03-01,On Track,17
API Development,2026-03-01,On Track,60
Login Module,2026-03-01,On Track,45
UI Development,2026-03-01,At Risk,8
UI Development,2026-03-01,On Track,13
Login Module,2026-03-01,On Track,27
UI Development,2026-03-01,On Track,53
Deployment,2026-03-01,On Track,50
UI Development,2026-03-01,On Track,55
Database Design,2026-03-01,At Risk,8
Deployment,2026-03-01,On Track,59
Payment System,2026-03-01,On Track,54
Payment System,2026-03-01,On Track,30
Testing,2026-03-01,Delayed,-5
Deployment,2026-03-01,On Track,43
API Development,2026-03-01,On Track,51
Login Module,2026-03-01,Delayed,-6
UI Development,2026-03-01,On Track,41
Payment System,2026-03-01,On Track,40
API Development,2026-03-01,On Track,12
API Development,2026-03-01,On Track,29
Testing,2026-03-01,Delayed,-4
Payment System,2026-03-01,On Track,42
Deployment,2026-03-01,On Track,47
Testing,2026-03-01,At Risk,0
Deployment,2026-03-01,On Track,35
API Development,2026-03-01,On Track,56
Payment System,2026-03-01,On Track,29
API Development,2026-03-01,On Track,39
Database Design,2026-03-01,On Track,21
Database Design,2026-03-01,On Track,35
Deployment,2026-03-01,On Track,17
Login Module,2026-03-01,On Track,41
Login Module,2026-03-01,On Track,30
Login Module,2026-03-01,At Risk,7
Database Design,2026-03-01,On Track,47
Login Module,2026-03-01,On Track,23
Testing,2026-03-01,On Track,40
Payment System,2026-03-01,On Track,32
Payment System,2026-03-01,On Track,37
Payment System,2026-03-01,On Track,35
Testing,2026-03-01,On Track,36
Payment System,2026-03-01,At Risk,1
Testing,2026-03-01,On Track,12
UI Development,2026-03-01,Delayed,-7
Login Module,2026-03-01,On Track,47
API Development,2026-03-01,On Track,57
Payment System,2026-03-01,Delayed,-3
Database Design,2026-03-01,Delayed,-7
Login Module,2026-03-01,On Track,11
