Issue_ID,Priority,Status,Bugs,Assigned_To
ISS1,Medium,Open,9,Noah
ISS2,Low,Open,4,Mia
ISS3,Low,In Progress,9,Tom
ISS4,Critical,Closed,8,Rachel
ISS5,High,Closed,6,Charlie
ISS6,Medium,Open,8,Olivia
ISS7,Low,Open,3,Rachel
ISS8,Medium,Open,8,Mia
ISS9,Low,In Progress,6,Liam
ISS10,Low,Closed,6,Emma
ISS11,Medium,In Progress,4,Mia
ISS12,Medium,Closed,9,Rachel
ISS13,Medium,Closed,4,Rachel
ISS14,Low,Open,3,Sam
ISS15,Medium,In Progress,2,David
ISS16,Critical,Open,6,David
ISS17,Critical,Closed,6,Rachel
ISS18,Low,Open,5,Sophia
ISS19,Low,In Progress,10,Noah
ISS20,Critical,In Progress,6,Ivy
ISS21,Medium,Open,9,Sam
ISS22,Low,Closed,6,Olivia
ISS23,Critical,Open,6,Noah
ISS24,High,Open,8,Frank
ISS25,High,In Progress,7,Mia
ISS26,Low,Closed,9,Emma
ISS27,Low,Open,10,Tom
ISS28,High,Open,1,Jack
ISS29,Critical,Closed,9,Grace
ISS30,High,Open,9,Henry
ISS31,Critical,In Progress,1,Jack
ISS32,Medium,Open,5,Kevin
ISS33,Critical,In Progress,4,Ivy
ISS34,High,Closed,1,Noah
ISS35,High,Open,9,Sam
ISS36,Low,Closed,3,Sam
ISS37,Low,Open,7,Ivy
ISS38,Critical,In Progress,5,Frank
ISS39,Low,Open,10,Bob
ISS40,Low,In Progress,7,Frank
ISS41,Low,In Progress,4,Frank
ISS42,Low,In Progress,6,Henry
ISS43,High,In Progress,4,Charlie
ISS44,Medium,Closed,10,Noah
ISS45,Medium,Open,4,David
ISS46,Medium,Closed,2,Sophia
ISS47,High,Open,9,Sam
ISS48,Medium,In Progress,5,Charlie
ISS49,Critical,In Progress,8,David
ISS50,Critical,Closed,3,Bob
ISS51,High,In Progress,8,Liam
ISS52,Medium,In Progress,3,Sophia
ISS53,Critical,Closed,4,David
ISS54,High,Open,2,Ivy
ISS55,Medium,Closed,4,Charlie
ISS56,Critical,In Progress,2,Sam
ISS57,Low,In Progress,4,Sophia
ISS58,Medium,Closed,1,Peter
ISS59,High,Closed,3,Grace
ISS60,Critical,Open,9,Olivia
ISS61,Low,Closed,4,Jack
ISS62,Critical,Closed,2,Henry
ISS63,High,Open,8,Grace
ISS64,High,Open,6,Rachel
ISS65,High,In Progress,10,Noah
ISS66,Low,In Progress,3,Bob
ISS67,Medium,Closed,5,Frank
ISS68,Critical,In Progress,1,Peter
ISS69,High,Closed,6,Rachel
ISS70,High,In Progress,9,Henry
ISS71,Low,Open,3,Ivy
ISS72,Medium,Closed,4,David
ISS73,Low,Open,9,Tom
ISS74,Medium,Closed,5,Frank
ISS75,High,Open,10,Bob
ISS76,Critical,Open,1,David
ISS77,Critical,In Progress,8,Tom
ISS78,High,Closed,10,Tom
ISS79,Critical,Open,8,Grace
ISS80,Medium,Open,4,Henry
ISS81,Low,Open,1,Grace
ISS82,Medium,Closed,1,Sam
ISS83,Medium,Closed,4,David
ISS84,Medium,Closed,10,Jack
ISS85,Low,In Progress,5,Sam
ISS86,Low,Open,9,Bob
ISS87,Low,Closed,5,Alice
ISS88,Low,In Progress,8,Charlie
ISS89,Medium,In Progress,5,David
ISS90,Medium,In Progress,10,Kevin
ISS91,Critical,In Progress,8,Kevin
ISS92,Low,Open,1,Charlie
ISS93,High,In Progress,10,Liam
ISS94,Medium,Closed,4,Henry
ISS95,Low,Open,3,Ivy
ISS96,Low,In Progress,6,Frank
ISS97,Critical,Open,7,Sophia
ISS98,Medium,Open,7,Liam
ISS99,Critical,Open,4,Noah
ISS100,Medium,Closed,2,Grace
ISS101,Critical,Open,10,Alice
ISS102,Low,In Progress,10,Sam
ISS103,Critical,Closed,6,Olivia
ISS104,Low,In Progress,5,Sam
ISS105,Low,Open,6,Henry
ISS106,Medium,Closed,9,Jack
ISS107,High,Open,6,Liam
ISS108,Medium,Closed,10,Rachel
ISS109,Medium,Open,4,Charlie
ISS110,Critical,Open,3,Tom
ISS111,Low,Closed,1,Noah
ISS112,High,In Progress,6,Olivia
ISS113,Critical,Open,6,Ivy
ISS114,Medium,Closed,6,Frank
ISS115,Critical,Closed,8,Charlie
ISS116,High,In Progress,2,Liam
ISS117,Medium,Open,10,Bob
ISS118,Low,Closed,1,Kevin
ISS119,Critical,Closed,8,David
ISS120,Critical,Closed,6,Frank
ISS121,High,Closed,3,Charlie
ISS122,High,In Progress,5,Alice
ISS123,Medium,Open,6,Emma
ISS124,Low,In Progress,9,Frank
ISS125,Low,In Progress,9,Charlie
ISS126,Critical,Open,3,Bob
ISS127,Critical,Closed,4,Rachel
ISS128,Medium,Closed,6,Bob
ISS129,High,Open,6,Jack
ISS130,Low,Closed,5,Sam
ISS131,Low,Open,5,Frank
ISS132,Medium,Closed,2,Bob
ISS133,Critical,Closed,7,Frank
ISS134,Medium,Open,3,Ivy
ISS135,Medium,Closed,1,Rachel
ISS136,Medium,In Progress,10,Rachel
ISS137,Low,In Progress,5,Olivia
ISS138,Critical,In Progress,7,Liam
ISS139,Critical,Closed,4,Rachel
ISS140,Medium,Closed,2,Rachel
ISS141,Critical,Open,3,Jack
ISS142,Medium,Closed,1,Mia
ISS143,Low,Open,6,Rachel
