Commits,Lines_Added,Files_Changed,Bugs,Days_Left,Documentation,Messages,Risk
3,378,7,9,28,85,31,LOW
8,192,13,4,56,33,7,LOW
10,131,3,9,34,24,19,LOW
4,229,6,8,48,35,20,HIGH
8,433,8,6,34,20,48,LOW
2,191,11,8,32,73,3,LOW
5,456,10,3,28,49,29,LOW
10,162,8,8,44,51,2,LOW
2,452,3,6,32,34,18,LOW
1,134,4,6,-3,52,16,MEDIUM
2,319,11,4,54,39,34,LOW
7,211,6,9,9,77,14,LOW
6,157,15,4,29,52,32,LOW
10,194,2,3,-3,93,38,MEDIUM
7,258,2,2,52,31,43,LOW
4,170,13,6,46,24,32,HIGH
4,231,2,6,11,60,38,HIGH
6,291,3,5,47,95,6,LOW
10,146,3,10,38,40,40,LOW
7,398,8,6,-10,50,34,HIGH
6,238,10,9,21,59,12,LOW
6,438,14,6,-7,100,8,MEDIUM
7,372,12,6,11,48,23,HIGH
8,359,5,8,21,29,2,LOW
10,466,1,7,1,50,22,LOW
5,309,5,9,57,76,42,LOW
5,219,3,10,25,72,11,LOW
6,308,2,1,15,52,8,LOW
8,179,14,9,-5,32,30,HIGH
8,346,4,9,34,100,3,LOW
2,178,15,1,32,32,42,HIGH
9,302,6,5,23,99,22,LOW
9,144,11,4,25,40,33,HIGH
9,349,13,1,37,30,6,LOW
9,334,5,9,8,98,26,LOW
9,216,13,3,52,55,36,LOW
6,217,14,7,38,42,50,LOW
8,135,12,5,3,51,49,HIGH
4,448,6,10,56,69,25,LOW
5,131,13,7,-6,60,19,MEDIUM
10,201,11,4,34,74,47,LOW
9,496,5,6,39,53,9,LOW
6,381,7,4,-3,68,19,MEDIUM
7,205,15,10,13,98,10,LOW
3,209,5,4,10,73,5,LOW
4,470,11,2,57,74,42,LOW
2,235,9,9,-9,81,37,MEDIUM
4,440,1,5,-10,39,5,MEDIUM
7,460,9,8,8,71,26,HIGH
4,129,6,3,57,44,27,HIGH
2,335,11,8,17,95,49,LOW
1,462,1,3,60,95,45,LOW
7,89,3,4,45,56,38,HIGH
1,191,2,2,8,99,37,LOW
9,259,4,4,13,34,7,LOW
6,387,11,2,27,65,10,HIGH
8,455,3,4,53,66,11,LOW
8,132,8,1,50,90,22,LOW
9,101,9,3,55,38,48,LOW
2,422,11,9,8,47,6,HIGH
7,322,5,4,59,89,2,LOW
5,370,7,2,54,30,5,HIGH
8,205,11,8,30,74,30,LOW
5,78,14,6,-5,90,18,MEDIUM
8,60,12,10,43,87,3,LOW
1,139,11,3,51,100,26,LOW
3,215,9,5,-6,20,45,MEDIUM
1,439,3,1,41,88,45,HIGH
7,202,10,6,40,54,19,LOW
3,133,8,9,12,26,23,LOW
1,130,9,3,29,73,30,LOW
9,388,14,4,-4,76,29,MEDIUM
4,389,9,9,42,45,20,LOW
3,333,6,5,47,22,44,LOW
4,59,12,10,0,20,13,LOW
6,99,14,1,35,72,7,HIGH
5,214,5,8,56,41,32,HIGH
8,400,4,10,29,31,7,LOW
6,303,1,8,39,64,41,HIGH
4,285,5,4,21,63,48,LOW
3,305,12,1,35,93,28,LOW
10,138,13,1,17,20,17,LOW
9,280,4,4,41,30,2,LOW
3,67,6,10,30,100,40,LOW
9,69,12,5,7,31,34,LOW
9,166,12,9,47,33,44,LOW
4,486,8,5,23,62,16,LOW
3,331,12,8,40,33,29,LOW
6,268,15,5,32,66,26,LOW
2,350,11,10,37,65,48,LOW
9,339,8,8,35,93,45,HIGH
1,302,10,1,36,40,21,LOW
4,296,5,10,1,52,25,LOW
10,94,7,4,12,72,12,LOW
7,55,15,3,-7,98,36,MEDIUM
9,279,9,6,47,37,6,LOW
8,493,6,7,57,76,34,HIGH
10,425,1,7,-3,82,13,MEDIUM
2,436,12,4,-7,22,37,HIGH
1,221,7,2,11,64,19,LOW
